,FragmentsBitId,AvgNumNonHydrogenAtoms,StdNumNonHydrogenAtoms,countStrong,p-valueStrong,countWeak,p-valueWeak,countVeryWeak,p-valueVeryWeak,countLow,p-valueLow,countCyto,p-valueCyto,countNE,p-valueNE,hStrongBH,p-valueStrongBH,hWeakBH,p-valueWeakBH,hVeryWeakBH,p-valueVeryWeakBH,hLowBH,p-valueLowBH,hCytoBH,p-valueCytoBH,hNEBH,p-valueNEBH
3671,3671,7.9375,2.78318050977654,1.0,0.5652749342151057,2.0,0.2773076711946575,0.0,1.0,2.0,0.43583873903516046,0.0,1.0,27.0,0.6167113281519878,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999987215966
3672,3672,10.6875,2.994134891750871,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.1654478902453728,0.0,1.0,14.0,0.533082608686236,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999987215966
3673,3673,9.833333333333334,2.650995620097811,1.0,0.3738023701583231,2.0,0.11357759515837781,0.0,1.0,0.0,1.0,0.0,1.0,15.0,0.6937260166846004,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999987215966
3674,3674,6.704545454545454,2.6421370951848937,1.0,0.6738291373475076,3.0,0.1613279248629703,2.0,0.46083448368451646,4.0,0.13323859003480557,0.0,1.0,33.0,0.9381509210859449,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999987215966
3675,3675,8.512820512820513,1.9854831469339425,1.0,0.6378904202167954,0.0,1.0,0.0,1.0,2.0,0.5405273589418621,1.0,0.47616990003374216,35.0,0.24915768670883975,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999987215966
3676,3676,10.2,2.7856776554368237,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.07935778079872984,4.0,0.8237163579463517,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999987215966
3677,3677,7.065217391304348,2.4882521708589946,1.0,0.6904453114115334,4.0,0.05650644108399065,1.0,0.8082871597713177,1.0,0.8802008028644387,1.0,0.5259304113189615,37.0,0.7373603441548247,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999987215966
3678,3678,7.285714285714286,2.905542440018438,0.0,1.0,1.0,0.7413169818840464,3.0,0.1814658992239403,1.0,0.8552472773008029,0.0,1.0,36.0,0.3645503165373666,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999987215966
3679,3679,4.4935064935064934,2.8632166845045743,1.0,0.866195425381571,0.0,1.0,1.0,0.9411795543339713,4.0,0.47420443695903125,14.0,1.5558675635674517e-11,57.0,0.9939877874645082,False,1.0,False,1.0,False,1.0,False,1.0,True,6.372833540372282e-08,False,0.9999999987215966
3680,3680,8.166666666666666,2.3595466338812456,0.0,1.0,0.0,1.0,1.0,0.7858945442076994,2.0,0.581111497116345,1.0,0.501665229912839,38.0,0.1926832890196881,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999987215966
3681,3681,8.461538461538462,2.863082020965715,1.0,0.6283069692637048,2.0,0.3494044965043496,2.0,0.3986850548825165,1.0,0.8331895516519515,2.0,0.12811285439817652,30.0,0.8727120395282688,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999987215966
